ROC AUC scores,Cohort 1,Cohort 2,Cohort 3,Cohort 4,Cohort 5,Cohort 6,Cohort 7
GNB ROC AUC score:,0.468 $ \pm $ 0.157,0.513 $ \pm $ 0.154,0.531 $ \pm $ 0.134,0.475 $ \pm $ 0.097,\textbf{0.638 $ \pm $ 0.215},0.324 $ \pm $ 0.078,0.48 $ \pm $ 0.092
\textbf{F7 score $ \pm $ std},,,,,,,
SVM ROC AUC score:,0.466 $ \pm $ 0.287,\textbf{0.62 $ \pm $ 0.09},0.489 $ \pm $ 0.118,0.553 $ \pm $ 0.064,0.54 $ \pm $ 0.204,0.409 $ \pm $ 0.127,0.478 $ \pm $ 0.137
Decision Tree ROC AUC score:,0.504 $ \pm $ 0.174,\textbf{0.603 $ \pm $ 0.084},0.572 $ \pm $ 0.138,0.423 $ \pm $ 0.066,0.584 $ \pm $ 0.174,0.398 $ \pm $ 0.124,0.424 $ \pm $ 0.098
kNN ROC AUC score:,0.455 $ \pm $ 0.221,0.52 $ \pm $ 0.056,0.506 $ \pm $ 0.177,0.419 $ \pm $ 0.082,0.559 $ \pm $ 0.174,0.44 $ \pm $ 0.055,0.488 $ \pm $ 0.187
GNB ROC AUC score:,0.421 $ \pm $ 0.196,0.583 $ \pm $ 0.088,0.551 $ \pm $ 0.166,0.456 $ \pm $ 0.073,\textbf{0.605 $ \pm $ 0.174},0.357 $ \pm $ 0.064,0.505 $ \pm $ 0.147
\textbf{F8 score $ \pm $ std},,,,,,,
SVM ROC AUC score:,0.448 $ \pm $ 0.243,textbf{0.626 $ \pm $ 0.127},0.439 $ \pm $ 0.142,0.481 $ \pm $ 0.195,0.495 $ \pm $ 0.083,0.547 $ \pm $ 0.136,0.455 $ \pm $ 0.222
Decision Tree ROC AUC score:,0.532 $ \pm $ 0.186,0.599 $ \pm $ 0.069,0.426 $ \pm $ 0.118,0.533 $ \pm $ 0.11,0.505 $ \pm $ 0.125,0.496 $ \pm $ 0.11,0.516 $ \pm $ 0.099
kNN ROC AUC score:,0.564 $ \pm $ 0.176,0.504 $ \pm $ 0.107,0.551 $ \pm $ 0.157,0.431 $ \pm $ 0.102,0.467 $ \pm $ 0.15,0.535 $ \pm $ 0.13,0.57 $ \pm $ 0.138
GNB ROC AUC score:,0.425 $ \pm $ 0.185,0.521 $ \pm $ 0.178,0.43 $ \pm $ 0.109,0.424 $ \pm $ 0.161,\textbf{0.617 $ \pm $ 0.093},0.502 $ \pm $ 0.095,0.379 $ \pm $ 0.129
\textbf{F9 score $ \pm $ std},,,,,,,
SVM ROC AUC score:,0.479 $ \pm $ 0.237,0.506 $ \pm $ 0.122,0.535 $ \pm $ 0.173,0.382 $ \pm $ 0.103,0.535 $ \pm $ 0.194,0.397 $ \pm $ 0.124,0.459 $ \pm $ 0.075
Decision Tree ROC AUC score:,0.493 $ \pm $ 0.204,0.415 $ \pm $ 0.133,0.483 $ \pm $ 0.153,0.408 $ \pm $ 0.047,\textbf{0.601 $ \pm $ 0.135},0.438 $ \pm $ 0.104,0.467 $ \pm $ 0.091
kNN ROC AUC score:,0.459 $ \pm $ 0.224,0.477 $ \pm $ 0.091,0.463 $ \pm $ 0.118,0.487 $ \pm $ 0.06,0.47 $ \pm $ 0.159,0.435 $ \pm $ 0.093,0.5 $ \pm $ 0.102
GNB ROC AUC score:,0.466 $ \pm $ 0.25,0.476 $ \pm $ 0.167,0.492 $ \pm $ 0.166,0.407 $ \pm $ 0.124,\textbf{0.602 $ \pm $ 0.1},0.342 $ \pm $ 0.09,0.516 $ \pm $ 0.12
